__main__: 2024-11-18 17:18:33,298 | DEBUG | asktug.py:41 | 89937 >>> Got topics, ids of topics: 35160
__main__: 2024-11-18 17:18:33,298 | INFO | asktug.py:79 | 89937 >>> Start to get accept answer, topic id: 35160
__main__: 2024-11-18 17:18:35,713 | INFO | asktug.py:48 | 89937 >>> Got accept answer of topic: 35160, post: 55350
__main__: 2024-11-18 17:38:10,710 | INFO | main.py:21 | 99930 >>> Start to save topics dataset to topic.csv
asktug: 2024-11-18 17:38:10,711 | INFO | asktug.py:63 | 99930 >>> Start to get topics, category_id: 30022, page: 0
asktug: 2024-11-18 17:38:13,518 | INFO | asktug.py:63 | 99930 >>> Start to get topics, category_id: 30022, page: 1
asktug: 2024-11-18 17:38:17,551 | INFO | asktug.py:63 | 99930 >>> Start to get topics, category_id: 30022, page: 2
asktug: 2024-11-18 17:38:20,393 | INFO | asktug.py:63 | 99930 >>> Start to get topics, category_id: 30022, page: 3
__main__: 2024-11-18 17:39:52,890 | INFO | main.py:21 | 982 >>> Start to save topics dataset to topic.csv
asktug: 2024-11-18 17:39:52,890 | INFO | asktug.py:63 | 982 >>> Start to get topics, category_id: 30022, page: 0
asktug: 2024-11-18 17:39:55,902 | INFO | asktug.py:63 | 982 >>> Start to get topics, category_id: 30022, page: 1
asktug: 2024-11-18 17:39:58,855 | INFO | asktug.py:63 | 982 >>> Start to get topics, category_id: 30022, page: 2
asktug: 2024-11-18 17:40:01,580 | INFO | asktug.py:63 | 982 >>> Start to get topics, category_id: 30022, page: 3
asktug: 2024-11-18 17:40:04,364 | INFO | asktug.py:63 | 982 >>> Start to get topics, category_id: 30022, page: 4
